experiment_id,timestamp,protocol,configuration,algorithm,classical_component,pqc_component,network_profile,iteration,latency_us,elapsed_s,user_cpu_s,system_cpu_s,memory_kb,tcp_payload_bytes,ip_packets,success
ssh_latency100_hybrid_20260901_151457_6,2026-09-01T15:15:38+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency100,6,2614114,,,,,,,1
ssh_latency100_hybrid_20260901_151457_7,2026-09-01T15:15:41+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency100,7,2899535,,,,,,,1
ssh_latency100_hybrid_20260901_151457_8,2026-09-01T15:15:44+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency100,8,2604747,,,,,,,1
ssh_latency100_hybrid_20260901_151457_9,2026-09-01T15:15:46+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency100,9,2615395,,,,,,,1
ssh_latency100_hybrid_20260901_151457_10,2026-09-01T15:15:49+00:00,SSH,Hybrid,sntrup761x25519,X25519,Streamlined-NTRU-Prime,latency100,10,2600146,,,,,,,1
tls_latency200_classical_20260901_151549_1,2026-09-01T15:15:50+00:00,TLS,Classical,X25519,X25519,None,latency200,1,1247008,,,,,,,1
tls_latency200_classical_20260901_151549_2,2026-09-01T15:15:52+00:00,TLS,Classical,X25519,X25519,None,latency200,2,1230751,,,,,,,1
tls_latency200_classical_20260901_151549_3,2026-09-01T15:15:53+00:00,TLS,Classical,X25519,X25519,None,latency200,3,1230224,,,,,,,1
tls_latency200_classical_20260901_151549_4,2026-09-01T15:15:54+00:00,TLS,Classical,X25519,X25519,None,latency200,4,1233773,,,,,,,1
tls_latency200_classical_20260901_151549_5,2026-09-01T15:15:55+00:00,TLS,Classical,X25519,X25519,None,latency200,5,1228858,,,,,,,1
tls_latency200_classical_20260901_151549_6,2026-09-01T15:15:57+00:00,TLS,Classical,X25519,X25519,None,latency200,6,1229091,,,,,,,1
tls_latency200_classical_20260901_151549_7,2026-09-01T15:15:58+00:00,TLS,Classical,X25519,X25519,None,latency200,7,1230104,,,,,,,1
tls_latency200_classical_20260901_151549_8,2026-09-01T15:15:59+00:00,TLS,Classical,X25519,X25519,None,latency200,8,1229829,,,,,,,1
tls_latency200_classical_20260901_151549_9,2026-09-01T15:16:00+00:00,TLS,Classical,X25519,X25519,None,latency200,9,1229503,,,,,,,1
tls_latency200_classical_20260901_151549_10,2026-09-01T15:16:01+00:00,TLS,Classical,X25519,X25519,None,latency200,10,1229448,,,,,,,1
tls_latency200_hybrid_20260901_151549_1,2026-09-01T15:16:03+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency200,1,1248003,,,,,,,1
tls_latency200_hybrid_20260901_151549_2,2026-09-01T15:16:04+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency200,2,1216456,,,,,,,1
tls_latency200_hybrid_20260901_151549_3,2026-09-01T15:16:05+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency200,3,1216851,,,,,,,1
tls_latency200_hybrid_20260901_151549_4,2026-09-01T15:16:06+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency200,4,1215713,,,,,,,1
tls_latency200_hybrid_20260901_151549_5,2026-09-01T15:16:08+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency200,5,1217868,,,,,,,1
tls_latency200_hybrid_20260901_151549_6,2026-09-01T15:16:09+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency200,6,1219680,,,,,,,1
tls_latency200_hybrid_20260901_151549_7,2026-09-01T15:16:10+00:00,TLS,Hybrid,X25519MLKEM768,X25519,ML-KEM-768,latency200,7,1218456,,,,,,,1
